timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-04-16T11:00	baseline	novelty-assessment	-	64.75	baseline	-	初始评估	dry_run
2026-04-16T11:03	84bf448	novelty-assessment	64.75	78.2	keep	检查点+边界+引用	增加检查点A/B+快速筛选+修复路径+fallback	dry_run
2026-04-16T11:06	ded0126	novelty-assessment	78.2	82.5	keep	指令具体性	量化筛选条件+refutation示例+修复建议数量矛盾	dry_run
2026-04-16T11:09	c759c20	novelty-assessment	82.5	80.2	revert	边界条件	合并追问到检查点A+PDF处理+跳过机制（评分校准差异）	dry_run
2026-04-16T11:35	4c5b509	novelty-assessment	82.5	90.3	keep	外部知识注入	Smart Plagiarism+Disruption vs Novelty+Fertile Ground+LLM时代注意事项+2025锚点（真实web搜索注入）	dry_run
2026-04-16T12:00	9d96fd6	novelty-assessment	85.0	85.6	keep	指令具体性	加权计算示例+ASCII柱状图模板+输出长度控制(R5,独立子agent评分,新基准更严格)	independent_agent
2026-04-16T12:30	0983c11	novelty-assessment	85.6	91.0	keep	检查点设计	A2快速筛选确认(三选一)+B0评分自检三条核查(极端分/方差/锚点对标)	independent_agent
2026-04-16T14:00	uncommitted	novelty-assessment	91.0	88.0	revert	整体架构	R7重组评估原则为§A哲学/§B方法论/§C陷阱三大类(D7:7→8但评估者严格度漂移导致总分下降,棘轮机制触发revert)	independent_agent
2026-04-16T14:30	e5dd2ba	novelty-assessment	91.0	93.5	keep	实测表现	R8追加One-Shot完整示例(RL优化CoT案例)-D8明显提升+D5中等提升+D7持平,pairwise配对评分规避基准漂移	pairwise_agent
2026-04-16T16:00	2844ee4	novelty-assessment	93.5	95.0	keep	指令具体性+工作流	R9 Phase 1.0结构化Novelty Verification Pipeline(DeepReview z1启发:查询扩展+Top-K检索+Rerank+Refutation Chain+Pipeline自检+检查点A3),D2:9→9.3 D5:9→9.4	dry_run_pairwise
2026-04-16T16:15	fd9be65	novelty-assessment	95.0	95.8	keep	边界条件覆盖	R10 B0.5 LLM偏见反制(NovBench启发,Over-Positive/Missing Multi-Innovations/Bold保守3条主动反偏见检查),D3:8→9.2	dry_run_pairwise
2026-04-16T16:30	92564ff	novelty-assessment	95.8	96.3	keep	整体架构	R11 Phase 2.5内部多视角自检(AgentReview启发,Optimist/Pessimist/Meta-Reviewer三角色blind synthesis,对边缘/极端分触发),D7:8→8.8	dry_run_pairwise
2026-04-16T16:45	13c1a4b	novelty-assessment	96.3	97.0	keep	资源整合度	R12 methodology.md §9整合7系统原理+性能对标表(Stanford/DeepReview/AgentReview/debashis1983/NovBench/OpenReviewer/poldrack/OpenAIReview),SKILL.md定位Quality Review,D6:8→9.4	dry_run_pairwise
2026-04-16T16:00	uncommitted	novelty-assessment	97.0	97.8	keep	系统性偏高修正	R13 用户实战诊断反馈-针对"组合型创新"评分膨胀-9条修复打包:Fix1组合处罚(维度2≤4+标签)+Fix2维度一内部30/40/30切分+Fix3cannot_refute双层(概念+实验)+Fix4A4术语剥离测试+Fix5B0.5阈值下调(≥3维/均值6.5/最低5)+Fix6Phase0.5组合型触发+Fix7B0.7toy-only折扣+Fix8Phase0去锚定+Fix9B0one-shot±1.5对标-干跑回归"三合一"案例6.4→4.35,收敛2.05分,D3/D4检查点设计提升	dry_run_regression
2026-04-16T17:00	rebaseline	novelty-assessment	-	86.15	rebaseline	research-grade对照	V2收官后用研究级基准严格重评-发现结构短板(缺Taste Gate/二元refute/缺实战字段/过强声明5处)-给R14-R17预留空间	pairwise_vs_research_grade
2026-04-16T17:05	0be97e7	novelty-assessment	86.15	88.70	keep	整体架构D7	R14 新增Phase 0.8 Research Taste Gate(必答八问+1-10评分+4条硬限制)+Worth-Doing Verdict双输出决策表+检查点A2.5+输出模板'二、Taste Gate'整段-D7:8.0→9.7	pairwise_vs_research_grade
2026-04-16T17:10	f059674	novelty-assessment	88.70	90.50	keep	指令具体性D5	R15 二元can_refute/cannot_refute→四状态claim audit(directly/partially/not_refuted_yet/evidence_insufficient)+状态→分数映射表+差异层级字段(概念/机制/仅实验组合)-D5:8.5→9.7	pairwise_vs_research_grade
2026-04-16T17:15	b5fec0d	novelty-assessment	90.50	93.25	keep	实测表现D8	R16 输出模板顶部新增'Decision Dashboard'7字段(Verdict+Novelty+Taste+Confidence+Strongest Prior+Killer Risk+Decisive Test+Residual Value)+硬规则(Strongest Prior不能写'无'/Killer Risk必须单一/无Decisive Test则Verdict降档)+One-Shot示例同步-D8:8.5→9.6	pairwise_vs_research_grade
